Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Rasmus Højlund,9,dk DEN,FW,22-030,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,4,0,8,11,72.7,1,10,3,0,0
Joshua Zirkzee,11,nl NED,LW,23-288,87,1,0,0,0,3,1,0,0,40,2,2,1,0.4,0.4,0.0,2,0,21,28,75.0,6,20,1,0,0
Toby Collyer,43,eng ENG,RW,21-062,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,0,0,0
Alejandro Garnacho,17,ar ARG,RW,20-248,77,0,1,0,0,5,2,0,0,21,0,0,2,0.3,0.3,0.1,3,1,11,11,100.0,1,13,2,0,0
Christian Eriksen,14,dk DEN,"RW,LW",33-020,13,0,0,0,0,1,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,5,0,0,0
Patrick Dorgu,13,dk DEN,LM,20-131,90,0,0,0,0,1,0,0,0,49,1,0,4,0.0,0.0,0.2,2,0,20,34,58.8,1,29,3,2,0
Casemiro,18,br BRA,CM,33-011,90,0,0,0,0,0,0,0,0,58,5,2,5,0.0,0.0,0.0,2,0,31,38,81.6,4,28,0,0,0
Bruno Fernandes,8,pt POR,CM,30-179,90,0,0,0,0,2,0,1,0,62,1,0,1,0.3,0.3,0.1,7,0,40,56,71.4,14,33,3,0,0
Diogo Dalot,20,pt POR,RM,25-353,90,0,0,0,0,1,1,0,0,70,1,1,3,0.1,0.1,0.4,4,1,36,50,72.0,2,37,4,0,0
Noussair Mazraoui,3,ma MAR,CB,27-112,90,0,0,0,0,0,0,0,0,64,3,0,3,0.0,0.0,0.0,0,0,40,47,85.1,3,27,0,0,0
Matthijs de Ligt,4,nl NED,CB,25-206,90,0,0,0,0,0,0,0,0,42,2,0,0,0.0,0.0,0.0,0,0,34,36,94.4,2,25,0,0,0
Leny Yoro,15,fr FRA,CB,19-113,87,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,0,0,39,44,88.6,1,38,2,0,0
Victor Lindelöf,2,se SWE,CB,30-232,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,1,0,0,0
André Onana,24,cm CMR,GK,28-338,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,35,60.0,0,20,0,1,1
